club_name,website,stadium_name
"""Hull City""",http://www.hullcitytigers.com/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link?utm_source=premier-league-website&utm_campaign=website&utm_medium=link,"""KCOM Stadium"""
"""Ipswich Town""",NULL,"""Portman Road"""
"""Leeds United""",http://www.leedsunited.com/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link,"""Elland Road"""
"""Leicester City""",http://www.lcfc.com/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link,"""King Power Stadium"""
"""Liverpool""",http://www.liverpoolfc.com/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link?utm_source=premier-league-website&utm_campaign=website&utm_medium=link,"""Anfield"""
"""Manchester City""",http://www.mancity.com/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link?utm_source=premier-league-website&utm_campaign=website&utm_medium=link,"""Etihad Stadium"""
"""Manchester United""",http://www.manutd.com/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link?utm_source=premier-league-website&utm_campaign=website&utm_medium=link,"""Old Trafford"""
"""Middlesbrough""",http://www.mfc.co.uk/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link?utm_source=premier-league-website&utm_campaign=website&utm_medium=link,"""Riverside Stadium"""
"""Newcastle United""",http://www.nufc.co.uk/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link?utm_source=premier-league-website&utm_campaign=website&utm_medium=link,"""St. James' Park"""
"""Norwich City""",http://www.canaries.co.uk/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link,"""Carrow Road"""
"""Nottingham Forest""",NULL,"""City Ground"""
"""Oldham Athletic""",NULL,"""Boundary Park"""
"""Portsmouth""",NULL,"""Fratton Park"""
"""Queens Park Rangers""",NULL,"""Loftus Road"""
"""Reading""",NULL,"""Madejski Stadium"""
"""Sheffield United""",http://www.sufc.co.uk/?utm_source=www.premier-league-website&utm_campaign=website&utm_medium=link?utm_source=premier-league-website&utm_campaign=website&utm_medium=link,"""Bramall Lane"""
"""Sheffield Wednesday""",NULL,"""Hillsborough"""
"""Southampton""",https://www.southamptonfc.com/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link?utm_source=premier-league-website&utm_campaign=website&utm_medium=link,"""St. Mary's Stadium"""
"""Stoke City""",http://www.stokecityfc.com/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link?utm_source=premier-league-website&utm_campaign=website&utm_medium=link,"""bet365 Stadium"""
"""Sunderland""",http://www.safc.com/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link?utm_source=premier-league-website&utm_campaign=website&utm_medium=link,"""Stadium of Light"""
"""Swansea City""",http://www.swanseacity.com/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link,"""Liberty Stadium"""
"""Swindon Town""",NULL,"""County Ground"""
"""Tottenham Hotspur""",http://www.tottenhamhotspur.com/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link?utm_source=premier-league-website&utm_campaign=website&utm_medium=link,"""Tottenham Hotspur Stadium"""
"""Watford""",https://www.watfordfc.com/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link?utm_source=premier-league-website&utm_campaign=website&utm_medium=link,"""Vicarage Road"""
"""West Bromwich Albion""",http://www.wba.co.uk/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link,"""The Hawthorns"""
"""West Ham United""",http://www.whufc.com/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link?utm_source=premier-league-website&utm_campaign=website&utm_medium=link,"""London Stadium"""
"""Wigan Athletic""",NULL,"""DW Stadium"""
"""Wimbledon""",NULL,"""Selhurst Park"""
"""Wolverhampton Wanderers""",http://www.wolves.co.uk/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link,"""Molineux Stadium"""
